token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,label
Cg,Sg,Tb,Cr,Sy,Cy,Ty,Sg,Ty,Cr,Cy,0
Tb,Cg,Sb,Sg,Sb,Cr,Tr,Cb,Sg,Tg,Cg,1
Cb,Sg,Sy,Tg,Tb,Cg,Cb,Cr,Tr,Cg,Tg,0
Tg,Cb,Cg,Tb,Cr,Tr,Cg,Cy,Tr,Cg,Cg,0
Cr,Sb,Cb,Tr,Tb,Tr,Cr,Sg,Sb,Tb,Ty,1
Cr,Sr,Cy,Sr,Cg,Cr,Sb,Tb,Sr,Sy,Ty,0
Cb,Tr,Cy,Tr,Ty,Tg,Sy,Sg,Cy,Tr,Sb,1
Sg,Tb,Cb,Tg,Sg,Tb,Sg,Cb,Cy,Tg,Tr,1
Tg,Tr,Cy,Sb,Cb,Sg,Ty,Cy,Sy,Cr,Cg,1
Tr,Sb,Sb,Sb,Sg,Cr,Cg,Tb,Sy,Cb,Ty,0
Sy,Sg,Cb,Tg,Tb,Tr,Sb,Sy,Ty,Sg,Sg,0
Sy,Cy,Sy,Tr,Cg,Sg,Sr,Tb,Sb,Tb,Ty,0
Cb,Tg,Cr,Tb,Sr,Sb,Cg,Cr,Tb,Sb,Sb,1
Sr,Cg,Sb,Tg,Tr,Ty,Tb,Sb,Tg,Sb,Sb,1
Tb,Tb,Sr,Sb,Ty,Sb,Sy,Tg,Sg,Tr,Sg,1
Sb,Tr,Sr,Tb,Cr,Sb,Sr,Ty,Sr,Cy,Tr,0
Cr,Cr,Sg,Sy,Tb,Tg,Cg,Cb,Tr,Tr,Sb,1
Sb,Cr,Sg,Sr,Sr,Cg,Cg,Cr,Tb,Cr,Tb,1
Cb,Sy,Cy,Tr,Cg,Cb,Sb,Sr,Ty,Sy,Cr,1
Tb,Ty,Cy,Ty,Sg,Tr,Cb,Cr,Cy,Tb,Tg,1
Cy,Sy,Sy,Tr,Ty,Sg,Cg,Cb,Tb,Cr,Tr,0
Cb,Ty,Sg,Tr,Sg,Tg,Cr,Tb,Cy,Tr,Cy,1
Cy,Tb,Cb,Tg,Cg,Sy,Cr,Tr,Cr,Tg,Sb,1
Cg,Cb,Cy,Cg,Sb,Cr,Tr,Sr,Ty,Sy,Cg,1
Cg,Cg,Cb,Sr,Sy,Cy,Cb,Tr,Tg,Sb,Tg,0
Tg,Sg,Cg,Sg,Cy,Cb,Sg,Ty,Cb,Sr,Sg,1
Cr,Sb,Cb,Cb,Sr,Tb,Cg,Tg,Tr,Cb,Sb,1
Sy,Tg,Sg,Tr,Tb,Sb,Sy,Cr,Ty,Cg,Sy,1
Cb,Tg,Sr,Sg,Tb,Sy,Sg,Sr,Sg,Tg,Tg,1
Sg,Cb,Sy,Tg,Ty,Cg,Sy,Sg,Tb,Sy,Tr,1
Sg,Sb,Tg,Sb,Cb,Cb,Tg,Sy,Tr,Tr,Sy,1
Cy,Tb,Cb,Cb,Sb,Cb,Cb,Sr,Cg,Sr,Ty,1
Tb,Sb,Sy,Sr,Cg,Cb,Cr,Cr,Cb,Sb,Cg,0
Cy,Tg,Tg,Sy,Cy,Ty,Sy,Sg,Ty,Tb,Ty,1
Cg,Sb,Tr,Cr,Sy,Sr,Sb,Tg,Tr,Tr,Sb,1
Sg,Sy,Ty,Cb,Sr,Sb,Sy,Cr,Cg,Cb,Cy,0
Cg,Sr,Cr,Sg,Tg,Tr,Sy,Cy,Cy,Sr,Cr,0
Cg,Cy,Cy,Cg,Sy,Cr,Sr,Sg,Sg,Cy,Tg,1
Sy,Cg,Tg,Ty,Sy,Sg,Cb,Tr,Sy,Cg,Cg,1
Cg,Cb,Ty,Tr,Sg,Tb,Tr,Tr,Cy,Cb,Cg,1
Tr,Sr,Cg,Tb,Cy,Cr,Cr,Sy,Sy,Sr,Sy,0
Tb,Tg,Ty,Sr,Cg,Cb,Cr,Tr,Cb,Cg,Cr,0
Cg,Tb,Ty,Ty,Ty,Sg,Sg,Sg,Sg,Tg,Tr,1
Ty,Sb,Cy,Tr,Cy,Tb,Sg,Cy,Tb,Ty,Tr,1
Cb,Sr,Sg,Cy,Cy,Cy,Cg,Sy,Ty,Sg,Sy,0
Sy,Sg,Tr,Tr,Sb,Cy,Sy,Tg,Sb,Sb,Tb,0
Tr,Ty,Sr,Cr,Cg,Cy,Cr,Tb,Tr,Tb,Tr,0
Cr,Cy,Cg,Sb,Tr,Ty,Tb,Cg,Tr,Sr,Cr,0
Cb,Cy,Ty,Tr,Sb,Sr,Tg,Sr,Sy,Tg,Tb,0
Cg,Ty,Sr,Ty,Ty,Tg,Cy,Ty,Tg,Sr,Sy,1
Cb,Cg,Cb,Sg,Tr,Cg,Cr,Tb,Cg,Tr,Cg,1
Sy,Ty,Cg,Sr,Cy,Sg,Cb,Sy,Sg,Sr,Tg,0
Sg,Tr,Tb,Sy,Cb,Tg,Cg,Cg,Tg,Sb,Tr,0
Sb,Tr,Tg,Cr,Ty,Tb,Sr,Cb,Cy,Ty,Ty,1
Sr,Tb,Tg,Cr,Sg,Sy,Ty,Ty,Sy,Tg,Cr,0
Ty,Sb,Cb,Tr,Tb,Sb,Ty,Tb,Sy,Tg,Tg,1
Cg,Sy,Ty,Cb,Tb,Tr,Ty,Cb,Sb,Tb,Cy,0
Tr,Sy,Cb,Cg,Sb,Tb,Cg,Ty,Cy,Tb,Cy,0
Sg,Sb,Sb,Sg,Sb,Cr,Tg,Cy,Sb,Sy,Sy,0
Sr,Sy,Sy,Sb,Cg,Sb,Cy,Tb,Sr,Tg,Cb,1
Sr,Sb,Sg,Cg,Cy,Tb,Sr,Sy,Tb,Sg,Sr,0
Cg,Sy,Cg,Tb,Tg,Tg,Sr,Sg,Cg,Cb,Tg,1
Cb,Cb,Ty,Cb,Cg,Ty,Cb,Cb,Cy,Tr,Tb,1
Cr,Cr,Cr,Sg,Sb,Cg,Cy,Tr,Cy,Tr,Tb,0
Tr,Cb,Sr,Tg,Ty,Sr,Cy,Cr,Tr,Cy,Tg,0
Cr,Ty,Sb,Cb,Tb,Tr,Sr,Cr,Sb,Tr,Tb,1
Sy,Sr,Ty,Sr,Cg,Sr,Sr,Ty,Sy,Sg,Cg,0
Ty,Sr,Tr,Tr,Tb,Tb,Tg,Cy,Cg,Sr,Tg,1
Tg,Tr,Tb,Cy,Tr,Tb,Tg,Tg,Sg,Tb,Cg,0
Sy,Cb,Sb,Sb,Cy,Sb,Cr,Cb,Sr,Cy,Sg,0
Ty,Sb,Cr,Tg,Tb,Sb,Sg,Cy,Sy,Cg,Tr,0
Cr,Tr,Tb,Tr,Sg,Cy,Cy,Sg,Sb,Sr,Cy,1
Cb,Tg,Ty,Tb,Sy,Sr,Cr,Sg,Tg,Sy,Cb,1
Cg,Sr,Sr,Sr,Sg,Sy,Ty,Sy,Sg,Sg,Sy,1
Sg,Sr,Sr,Sr,Tr,Sg,Cg,Cb,Cg,Cb,Cb,0
Sb,Cr,Cr,Tb,Cg,Sg,Tg,Ty,Tb,Sb,Tb,1
Sg,Tb,Sg,Cg,Tg,Tb,Tg,Cb,Cy,Sb,Cb,1
Tg,Cr,Cg,Sb,Tg,Cr,Tr,Tr,Sb,Sy,Ty,1
Cb,Tg,Sg,Sb,Tb,Sb,Sb,Ty,Sy,Cr,Ty,1
Sy,Cr,Sb,Sb,Cr,Ty,Ty,Cr,Sb,Tr,Cb,0
Cy,Ty,Tb,Tr,Cb,Sg,Sy,Cy,Cr,Tb,Cr,0
Tg,Cg,Sb,Cg,Cr,Ty,Tr,Sg,Cy,Cy,Cb,1
Tg,Tb,Cb,Ty,Tg,Cr,Cr,Cr,Sr,Cb,Cb,0
Sr,Cr,Sy,Tr,Cr,Ty,Cg,Cg,Tg,Sy,Cy,0
Tr,Tr,Tb,Cg,Cy,Cy,Cb,Cr,Ty,Cr,Ty,0
Cb,Tr,Tb,Tb,Sg,Cr,Tb,Cb,Cy,Sg,Sb,0
Cr,Tb,Cg,Cr,Sg,Tg,Tg,Sy,Cr,Cg,Sg,1
Sr,Cb,Sg,Ty,Cr,Sy,Cy,Sg,Cr,Ty,Sr,1
Cb,Cb,Cy,Cb,Cr,Tr,Ty,Tb,Sr,Sg,Cg,0
Sg,Tr,Sg,Sb,Cy,Cg,Sg,Tb,Cy,Tg,Cg,1
Sg,Tr,Cb,Cy,Cg,Tr,Sr,Tg,Tr,Sb,Cy,1
Sr,Tb,Cy,Tr,Tg,Ty,Tb,Cb,Sy,Cr,Ty,1
Ty,Ty,Cy,Sg,Sb,Cy,Sr,Sg,Cr,Sg,Cg,0
Sy,Sb,Sr,Tg,Ty,Sr,Ty,Sy,Cr,Tb,Cg,1
Cg,Sb,Cr,Cr,Cg,Cy,Sy,Tg,Tg,Sr,Cr,0
Cy,Sg,Sr,Cy,Tr,Cb,Sy,Sr,Sb,Sr,Tg,1
Cg,Ty,Cy,Cb,Cb,Sb,Sb,Ty,Cg,Sb,Cb,1
Ty,Ty,Ty,Sr,Sy,Sy,Tb,Tr,Sr,Cy,Cg,1
