token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,label
Sb,Sb,Sy,Tb,Ty,Sr,Tr,Tb,Tr,Tb,0
Tr,Sy,Sr,Sr,Sr,Tg,Tr,Tg,Ty,Tr,0
Sr,Tb,Sr,Sg,Tg,Sr,Tg,Tg,Tr,Tg,0
Sr,Sg,Sy,Tr,Sb,Sr,Sb,Sg,Sg,Tg,0
Sg,Tr,Sg,Sr,Tb,Sg,Tr,Sy,Sr,Sb,0
Sb,Tg,Tg,Sb,Tb,Sy,Tb,Sb,Tb,Sy,0
Sy,Tr,Tg,Sb,Tr,Tg,Sr,Ty,Ty,Tr,0
Sr,Tb,Tr,Sg,Sg,Sb,Ty,Tr,Ty,Sr,0
Tb,Tg,Tr,Sb,Tg,Sg,Ty,Sg,Sy,Tr,1
Sy,Ty,Tb,Sy,Sy,Sb,Ty,Tg,Sy,Tb,0
Tr,Tr,Tb,Sr,Tb,Sy,Tr,Ty,Tb,Tb,0
Sr,Sy,Ty,Sb,Sg,Tr,Sr,Sr,Tg,Sr,0
Sb,Ty,Sg,Sg,Sg,Ty,Sr,Sy,Sr,Sr,1
Tg,Ty,Sb,Tg,Sy,Sg,Sy,Tg,Tg,Ty,0
Sy,Ty,Tr,Sg,Tb,Sg,Ty,Sr,Sg,Tg,0
Sr,Sr,Sy,Tg,Tr,Tg,Sg,Ty,Tr,Ty,1
Sb,Sy,Tg,Sb,Tr,Sb,Ty,Tb,Tr,Sr,1
Tb,Sy,Sy,Ty,Sy,Tg,Ty,Sy,Tb,Sy,0
Tg,Sg,Tr,Tb,Tr,Sy,Tr,Sr,Sy,Tr,0
Tg,Tr,Tg,Ty,Tr,Sg,Tg,Sg,Sr,Tg,0
Tg,Tg,Tr,Tb,Tb,Tb,Sg,Sb,Sb,Tg,0
Tb,Tb,Tr,Sb,Tb,Sr,Sy,Sr,Sg,Ty,1
Tb,Tb,Tr,Sy,Tg,Sb,Tg,Tg,Tr,Sr,0
Sg,Tr,Ty,Ty,Tr,Sb,Tr,Ty,Tg,Sy,0
Sy,Sy,Sr,Sg,Ty,Tg,Tr,Sb,Tg,Sr,1
Tg,Sy,Sr,Ty,Sg,Sr,Tb,Tb,Sg,Tr,1
Tb,Tr,Ty,Sg,Tr,Ty,Sr,Tg,Sg,Sr,0
Sg,Sr,Sr,Tg,Sy,Tg,Tr,Ty,Sg,Tr,1
Sr,Tr,Tb,Sr,Ty,Sg,Tr,Sy,Sb,Sr,1
Tb,Sg,Tr,Ty,Sb,Sg,Tb,Sb,Tb,Sb,1
Sg,Ty,Sb,Tr,Sr,Sy,Sb,Tb,Sy,Ty,1
Sg,Tr,Sr,Sy,Tr,Tg,Sg,Sr,Tg,Tb,0
Sy,Tr,Sb,Sb,Tg,Sg,Tr,Sg,Tb,Tb,0
Tr,Sg,Sg,Sr,Tg,Sy,Sr,Ty,Sr,Ty,1
Sb,Sr,Sy,Sy,Tb,Sb,Sb,Ty,Sb,Tg,1
Sy,Sr,Tg,Ty,Sr,Sg,Tr,Sg,Tr,Sy,0
Ty,Tr,Tg,Tg,Sy,Sy,Tb,Sy,Ty,Sy,0
Sg,Tb,Tb,Sy,Sy,Sr,Sb,Sb,Tg,Sb,1
Tb,Tg,Sg,Ty,Sg,Tr,Ty,Tb,Ty,Sy,0
Tr,Sg,Ty,Sr,Tb,Tr,Sy,Tb,Sb,Sy,0
Sg,Sb,Sy,Tg,Sy,Sr,Tb,Ty,Sr,Tr,1
Ty,Sg,Ty,Sb,Sr,Tg,Sb,Sr,Sg,Tg,0
Tb,Sb,Tb,Sr,Sg,Sg,Sy,Tg,Sb,Sy,1
Sg,Tb,Ty,Tb,Tg,Tg,Sg,Ty,Sr,Sr,0
Sg,Sr,Sy,Tr,Sr,Sb,Sg,Tg,Tg,Tb,1
Tb,Ty,Tg,Sr,Sg,Sr,Tb,Sr,Sb,Ty,0
Sg,Sy,Tb,Sg,Sy,Tg,Tr,Sy,Tg,Sg,1
Sy,Tg,Sb,Sr,Sy,Tr,Tr,Sg,Sg,Tr,0
Tb,Tb,Sg,Sb,Tg,Sr,Sg,Tg,Tg,Sy,0
Tg,Ty,Tr,Sr,Tr,Sb,Tb,Sg,Sr,Tb,1
Sb,Sg,Sg,Sy,Ty,Sr,Sg,Sr,Sy,Sr,0
Sb,Sy,Sb,Tb,Sy,Sy,Tg,Sb,Sg,Sb,0
Tg,Tg,Sr,Sy,Tb,Sr,Ty,Tb,Sr,Tb,0
Sy,Ty,Sg,Tb,Sg,Sb,Sr,Tg,Sy,Sr,0
Tr,Tr,Sy,Sr,Sy,Tr,Sy,Tr,Tg,Tg,0
Tr,Ty,Sy,Tg,Sy,Ty,Sy,Tr,Sb,Tr,0
Tg,Tg,Sr,Tg,Tb,Tr,Ty,Ty,Sy,Sy,1
Sr,Tr,Ty,Sg,Sy,Tb,Sb,Sb,Sy,Ty,0
Sy,Tb,Sr,Tr,Tb,Sg,Sy,Tr,Sr,Tb,0
Sy,Tg,Sg,Sy,Tr,Sb,Sb,Tb,Sg,Tr,1
Tg,Sg,Sr,Sg,Ty,Tg,Tb,Ty,Tb,Sy,0
Tr,Tg,Tr,Tb,Sr,Tg,Sg,Ty,Ty,Sb,1
Tg,Sb,Tb,Tg,Ty,Sb,Tb,Sg,Sg,Sy,0
Tb,Sb,Tr,Tb,Tb,Sy,Tr,Sy,Sr,Sr,1
Tg,Tb,Sr,Sb,Sg,Ty,Sy,Sr,Tg,Tg,1
Sb,Ty,Sr,Tg,Sy,Tg,Sg,Tb,Tr,Sg,0
Sy,Ty,Tb,Tg,Ty,Sr,Sb,Sr,Sr,Tb,0
Tb,Sr,Tg,Sy,Sr,Ty,Tg,Sy,Tb,Sy,0
Tr,Sy,Sg,Tb,Tr,Tb,Tr,Sb,Tr,Sb,1
