token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,token_11,label
Sg,Sb,Cb,Dy,Sy,Dy,Sb,Dr,Dy,Cy,Cr,Cg,0
Cy,Db,Cg,Tg,Sy,Cg,Cg,Cg,Dg,Tr,Sg,Dr,1
Sg,Dg,Ty,Cg,Tb,Dg,Sy,Cr,Dr,Tb,Tr,Sg,1
Tg,Db,Tg,Ty,Tg,Dr,Sy,Cg,Cr,Sr,Db,Tg,0
Ty,Sg,Tg,Tg,Tg,Cr,Dr,Sr,Sb,Dr,Dr,Dr,1
Sy,Sr,Cg,Dr,Dg,Db,Dy,Cg,Dr,Sb,Cr,Ty,0
Cr,Cg,Sy,Cb,Dg,Cg,Db,Dg,Tr,Cy,Ty,Tr,1
Tb,Ty,Cy,Dr,Cr,Ty,Dg,Ty,Sg,Tr,Dg,Dy,1
Ty,Sy,Cg,Tr,Tr,Cy,Cb,Tg,Tr,Dr,Tg,Cr,0
Tr,Dg,Tr,Tg,Dr,Sg,Ty,Cg,Cy,Dg,Cy,Dr,1
Tg,Cb,Cy,Ty,Db,Tg,Dr,Cb,Cb,Ty,Cb,Sr,0
Sr,Cb,Tb,Tb,Dg,Sb,Sg,Dr,Dr,Dy,Dy,Ty,0
Cy,Cg,Sr,Tb,Dg,Tr,Dg,Cy,Tb,Cb,Cy,Cg,1
Cb,Dy,Db,Dg,Tb,Tr,Ty,Cr,Sy,Tg,Cr,Sb,1
Tr,Tg,Sb,Tg,Dy,Dr,Sr,Dg,Dy,Dr,Tr,Dr,0
Cg,Tb,Dr,Sg,Cy,Ty,Db,Sg,Tr,Sr,Cb,Cg,0
Tb,Sg,Tr,Cg,Dr,Dy,Db,Dr,Sr,Cg,Tb,Ty,1
Tr,Cy,Tr,Tr,Dg,Dr,Db,Tb,Tg,Sg,Cb,Tg,1
Tg,Sy,Dr,Cr,Dg,Sr,Dg,Dr,Cr,Ty,Dg,Cg,1
Dy,Dg,Cy,Tb,Sr,Sb,Sg,Dr,Dg,Sr,Sb,Tr,1
Dg,Sy,Sg,Sr,Tb,Sb,Cy,Tg,Dy,Ty,Sy,Sb,1
Dg,Sr,Cy,Cy,Cr,Cg,Dy,Sg,Sb,Sg,Sb,Ty,1
Tr,Tg,Ty,Dr,Tg,Tb,Cg,Dr,Dg,Cg,Cr,Dg,1
Db,Dr,Cr,Tr,Sg,Cb,Dy,Dy,Dg,Db,Tb,Tr,1
Cr,Tr,Ty,Tg,Cb,Cy,Cb,Cy,Dg,Dy,Db,Sy,0
Sy,Cy,Sr,Db,Sy,Tb,Sy,Sy,Cg,Dy,Tr,Cy,0
Ty,Dr,Tr,Dr,Sy,Tb,Tb,Dg,Dr,Dy,Tr,Sg,1
Ty,Ty,Ty,Dr,Sy,Sg,Dg,Sg,Tb,Sb,Sg,Dg,0
Sg,Sr,Cb,Tr,Sy,Cg,Sr,Tg,Sg,Ty,Cy,Dg,1
Ty,Ty,Sb,Sr,Tr,Cg,Cg,Dr,Dy,Cy,Tb,Sr,0
Dg,Sg,Cr,Cr,Cg,Tr,Cg,Sb,Cg,Sg,Sr,Dy,1
Cy,Db,Sg,Dr,Sr,Dr,Dg,Tb,Dg,Cb,Cy,Dy,1
Tg,Db,Cb,Cy,Sy,Tg,Cr,Sg,Sr,Tr,Cr,Dr,1
Cr,Cr,Tg,Dr,Sr,Cb,Cy,Tg,Tr,Tb,Sb,Dg,1
Tb,Ty,Tg,Cy,Sb,Cb,Ty,Cg,Sy,Dg,Dg,Cb,1
Tg,Sy,Db,Sg,Sg,Dr,Dy,Sg,Dy,Tb,Dr,Dg,1
Sr,Db,Sg,Sy,Cy,Db,Db,Cg,Dg,Tb,Tr,Sy,1
Cb,Tg,Dy,Sg,Cy,Sr,Sb,Sg,Ty,Sy,Sr,Dr,0
Cg,Cg,Cy,Tr,Db,Dy,Cy,Dr,Cb,Sy,Sr,Cg,1
Dg,Cg,Dr,Dg,Dy,Dr,Ty,Cy,Sy,Dr,Tr,Db,0
Sg,Sb,Tr,Sr,Tg,Tg,Dr,Sr,Tb,Ty,Sr,Ty,1
Cr,Tg,Sg,Cg,Db,Cb,Dg,Sg,Tr,Sr,Cb,Sr,0
Tr,Cy,Sg,Db,Sr,Cy,Db,Db,Ty,Sr,Db,Sb,0
Db,Cg,Cr,Dg,Dg,Cb,Db,Dy,Cg,Tb,Dr,Sy,0
Cy,Sg,Cy,Tr,Tr,Dy,Tr,Dr,Dr,Cr,Cy,Sy,0
Dr,Db,Sg,Tb,Sr,Sb,Dr,Cy,Cg,Tg,Tb,Cr,0
Dg,Cb,Tr,Tr,Tb,Dr,Dg,Dg,Sb,Dr,Ty,Ty,0
Cr,Cy,Cr,Sb,Dy,Tr,Tg,Sy,Sg,Cr,Dy,Dg,0
Dy,Db,Ty,Dy,Cg,Tr,Cy,Dg,Cy,Tb,Cb,Cg,0
Dr,Cb,Sr,Cy,Dg,Cg,Cb,Tr,Cy,Db,Sg,Dr,0
Ty,Dy,Dr,Cb,Ty,Cr,Dy,Dg,Sb,Tg,Dg,Cy,0
Sg,Sb,Sg,Dy,Cg,Sb,Dg,Dy,Cr,Tg,Tr,Dr,1
Tr,Dg,Cg,Db,Dr,Db,Sy,Sb,Tb,Dy,Dy,Cg,0
Sb,Sr,Tr,Sr,Tg,Db,Sr,Tg,Ty,Dg,Db,Ty,0
Sb,Cy,Ty,Sg,Tg,Db,Sy,Cr,Dg,Cr,Dy,Sb,0
Db,Sr,Cb,Ty,Sr,Cr,Tr,Tb,Cb,Ty,Sy,Cy,1
Tg,Dr,Dy,Sg,Sb,Db,Dg,Sg,Sg,Cr,Cr,Dy,1
Tr,Sb,Sy,Db,Dr,Tr,Sg,Tb,Dr,Dy,Tb,Tr,1
Tg,Ty,Cy,Sb,Db,Dr,Sy,Cg,Tr,Cg,Tg,Db,1
Db,Tb,Tg,Cr,Tb,Tb,Dr,Dy,Cr,Sy,Cy,Ty,0
Cg,Dg,Tb,Tb,Cr,Sr,Sb,Tr,Tb,Sr,Tr,Tg,0
Dg,Sg,Tb,Sr,Dy,Sg,Tr,Tg,Tg,Cy,Tg,Dy,1
Sy,Tg,Sg,Cg,Cr,Ty,Cy,Cr,Dg,Dy,Dg,Sg,0
Db,Tb,Cr,Sr,Sr,Cr,Dg,Sb,Cr,Dr,Tg,Tr,1
Db,Sy,Sb,Cr,Db,Sr,Dg,Cr,Db,Sg,Cb,Cg,1
Ty,Sb,Sg,Sr,Tr,Sb,Dg,Tg,Sb,Dy,Dy,Tr,0
Tb,Sb,Cy,Cy,Sr,Cy,Dg,Sg,Dr,Dy,Dg,Tg,1
Cy,Cg,Cb,Dr,Cy,Db,Dg,Cy,Sg,Dg,Tb,Cg,0
Cb,Db,Cg,Cr,Cr,Sg,Tg,Sg,Dy,Cr,Tr,Sg,1
Ty,Tb,Sy,Tr,Dr,Dr,Sr,Sr,Tg,Db,Dg,Cy,1
Dy,Dg,Dg,Cy,Dy,Cg,Dg,Db,Dr,Tb,Cr,Cy,0
Cb,Dr,Sg,Ty,Cy,Ty,Tr,Cy,Tr,Cr,Ty,Dr,1
Sy,Cr,Ty,Ty,Dg,Db,Cy,Dg,Sr,Tg,Db,Tg,1
Ty,Dg,Dg,Sy,Cy,Db,Tb,Sg,Db,Sr,Cb,Db,0
Tb,Dy,Cg,Dy,Dg,Sr,Sy,Dr,Tb,Dy,Sr,Dy,1
Dy,Tg,Cy,Ty,Cg,Tg,Cb,Cb,Dg,Cy,Sy,Tg,0
Tb,Cy,Cb,Tg,Cb,Ty,Sr,Cb,Dr,Sr,Cg,Dg,0
Dr,Dg,Tg,Cg,Sr,Sr,Tb,Tr,Dy,Cy,Dr,Sg,0
Cr,Dy,Sg,Tg,Sg,Cg,Cy,Sy,Dy,Tr,Db,Dg,0
Dg,Dy,Ty,Sg,Cy,Sy,Db,Cb,Sg,Sg,Tr,Cy,0
Tg,Dg,Dy,Db,Tr,Cb,Sb,Db,Sr,Cr,Dy,Cy,1
Db,Dg,Sb,Sb,Db,Dr,Tr,Sb,Dg,Sg,Cr,Cy,1
Sg,Sb,Cg,Tb,Cb,Sb,Ty,Dy,Sy,Cb,Dg,Cy,1
Sb,Cr,Tr,Tb,Dy,Dr,Dg,Cy,Cb,Dg,Cg,Tg,1
Cr,Dr,Cr,Sr,Dy,Db,Tr,Cg,Dr,Tg,Dr,Cy,1
Tg,Sb,Dy,Cy,Tr,Dy,Cy,Sr,Sb,Cr,Cr,Dg,0
Ty,Dg,Dr,Dg,Dr,Db,Cr,Tg,Cy,Tg,Tr,Sb,0
Cg,Tb,Dg,Db,Cg,Tr,Cy,Cr,Tb,Sg,Dg,Ty,1
Dr,Tr,Cg,Dr,Sy,Sy,Sg,Sr,Sr,Cg,Ty,Dy,0
Tb,Cg,Cr,Tg,Dr,Dy,Cy,Tg,Tb,Cy,Sr,Sy,1
Cb,Tr,Dg,Tr,Tb,Sb,Sy,Sr,Dr,Cr,Cr,Sg,0
Sg,Cr,Cg,Cb,Db,Sb,Tb,Cy,Dg,Sg,Ty,Dy,0
Ty,Cr,Dg,Cr,Sb,Cr,Sg,Sy,Cb,Sb,Dy,Tg,0
Sb,Cy,Sy,Tb,Dy,Cb,Ty,Sr,Cy,Cb,Cg,Cr,0
Cb,Sg,Tr,Sb,Sg,Dr,Sr,Sy,Cg,Tg,Db,Db,1
Sg,Sb,Cg,Dg,Cy,Cy,Sr,Cb,Dr,Tr,Dy,Sy,0
Sb,Sg,Sg,Cy,Db,Sb,Tr,Sy,Sy,Dy,Ty,Dy,1
Cr,Tr,Dg,Dy,Sg,Sg,Cr,Tr,Tb,Ty,Tb,Sr,1
Sy,Tb,Dg,Dr,Dy,Db,Tb,Ty,Sb,Cb,Cr,Tg,1
Sg,Cg,Sr,Sy,Dy,Tg,Sb,Sy,Tb,Dr,Tb,Tg,0
Sr,Cb,Cg,Tr,Cy,Cg,Cy,Sg,Dr,Db,Sg,Tb,1
Cy,Db,Sg,Sg,Cy,Db,Sg,Ty,Db,Cb,Sg,Cb,1
Sb,Tg,Sb,Sb,Ty,Ty,Dr,Cy,Dy,Dg,Tb,Dr,1
Tg,Tr,Dg,Cg,Cb,Dg,Dg,Dy,Dg,Sg,Cb,Sb,0
Db,Sb,Dg,Db,Sr,Dr,Sb,Tg,Tr,Cg,Sr,Sg,1
Cr,Sg,Cg,Sb,Cb,Dr,Sg,Sg,Tr,Db,Tg,Tb,0
Sr,Db,Db,Db,Sg,Ty,Cy,Tg,Db,Tr,Cr,Cb,1
Tr,Sy,Cr,Dy,Dr,Dr,Dg,Tb,Cb,Tr,Sr,Cr,0
Tb,Tr,Tb,Sy,Db,Tb,Sr,Sr,Dy,Sg,Tr,Cy,0
Cr,Cg,Dg,Cr,Db,Db,Ty,Cg,Dg,Db,Ty,Cg,1
Tr,Cy,Cy,Dr,Dr,Dr,Sr,Sy,Sr,Tb,Dg,Dy,1
Tb,Tg,Cb,Sy,Cr,Tr,Tb,Cy,Sg,Db,Sb,Cg,0
Tb,Sb,Cb,Db,Sb,Cb,Cr,Sg,Sb,Cr,Dy,Sb,1
Cb,Cy,Dy,Sg,Dy,Db,Cb,Db,Cb,Sg,Cb,Dy,1
Cr,Cy,Tg,Dg,Cy,Sb,Cr,Db,Sb,Cb,Tg,Sr,0
Dg,Db,Cy,Tg,Tr,Dy,Dr,Db,Tb,Dy,Tb,Cg,1
Cg,Tr,Tg,Sb,Sb,Dr,Db,Db,Cg,Tr,Ty,Tg,1
Cy,Tg,Tr,Db,Cb,Cg,Tr,Dg,Ty,Db,Tr,Cr,0
Sg,Tg,Db,Cg,Dg,Cb,Cy,Cr,Cr,Tb,Cg,Sr,0
