token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,label
Sb,Sg,Sr,Tb,Dg,Sb,Cr,Db,Dg,1
Cb,Sr,Tb,Tg,Cg,Tb,Sb,Sb,Tg,1
Tr,Dr,Sg,Tb,Tr,Tr,Sg,Cr,Sr,1
Sr,Tg,Dg,Tg,Cr,Sg,Sr,Db,Sr,0
Tg,Tb,Sr,Sb,Dg,Dr,Cg,Cr,Tr,1
Dr,Cb,Dg,Db,Cb,Sb,Sb,Cr,Sb,1
Sb,Sb,Sr,Tr,Sb,Dg,Tb,Db,Sr,1
Tr,Sb,Cb,Db,Cb,Dr,Db,Cg,Sr,0
Sg,Cg,Cb,Sr,Db,Cr,Sr,Cg,Dr,1
Tr,Dr,Sb,Dr,Sr,Sr,Cg,Db,Tb,1
Sb,Tb,Sr,Tr,Cr,Tb,Sg,Cb,Sg,1
Dg,Cb,Tg,Sr,Db,Cg,Cg,Cg,Sr,1
Db,Sb,Cr,Sr,Sr,Cr,Dg,Sb,Tb,0
Tb,Cb,Db,Sr,Sb,Tr,Sr,Cb,Db,0
Db,Sb,Cg,Tr,Sb,Cg,Tg,Tr,Sg,1
Dr,Cb,Tr,Tr,Cg,Tg,Cr,Cg,Cg,0
Sb,Sg,Dg,Sr,Sr,Tr,Tr,Dr,Cg,0
Tg,Db,Tr,Cg,Db,Db,Tb,Db,Dg,0
Sr,Sb,Dg,Cg,Tb,Dr,Tb,Cr,Dr,1
Dr,Sg,Sb,Dg,Cg,Sb,Cb,Cr,Cg,0
Dg,Cb,Cb,Sb,Tg,Cg,Sb,Sg,Db,1
Tr,Dg,Cr,Tr,Tb,Sg,Cr,Sb,Tg,0
Dg,Cr,Dr,Cg,Tr,Sb,Sg,Cr,Tg,0
Sg,Tr,Sg,Dg,Db,Tb,Dr,Sb,Sg,1
Sr,Db,Dg,Cb,Sg,Cg,Dg,Cr,Dg,1
Tg,Tg,Sg,Cb,Sg,Dg,Cg,Tb,Tg,1
Dg,Db,Sb,Db,Dg,Db,Sb,Dr,Cr,1
